pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
茨城県,かすみがうら市,粟田の石塔,有形文化財,考古資料,市指定,1993-10-01,かすみがうら市粟田384,,https://www.city.kasumigaura.lg.jp/page/page003288.html,html,2026-07-06T12:59:54Z,JMH-082309-0031
茨城県,かすみがうら市,師付の田井,記念物(史跡・名勝・天然記念物),史跡,市指定,1971-08-01,かすみがうら市中志筑3042-2,,https://www.city.kasumigaura.lg.jp/page/page003289.html,html,2026-07-06T12:59:54Z,JMH-082309-0006
茨城県,かすみがうら市,本堂家の墓所,有形文化財,建造物,市指定,1971-08-01,かすみがうら市中志筑1353,,https://www.city.kasumigaura.lg.jp/page/page003290.html,html,2026-07-06T12:59:54Z,JMH-082309-0007
茨城県,かすみがうら市,長興寺山門と本堂,有形文化財,建造物,市指定,1971-08-01,かすみがうら市中志筑1353,,https://www.city.kasumigaura.lg.jp/page/page003291.html,html,2026-07-06T12:59:54Z,JMH-082309-0009
茨城県,かすみがうら市,不動明王像及び二童子立像,有形文化財,彫刻,市指定,1971-08-01,かすみがうら市中志筑1353,,https://www.city.kasumigaura.lg.jp/page/page003292.html,html,2026-07-06T12:59:54Z,JMH-082309-0002
茨城県,かすみがうら市,千手観音堂,有形文化財,彫刻,市指定,1971-08-01,かすみがうら市中志筑1325,,https://www.city.kasumigaura.lg.jp/page/page003293.html,html,2026-07-06T12:59:54Z,JMH-082309-0003
茨城県,かすみがうら市,石造五輪塔(中志筑),有形文化財,考古資料,市指定,2007-05-25,かすみがうら市中志筑1277,,https://www.city.kasumigaura.lg.jp/page/page003294.html,html,2026-07-06T12:59:54Z,JMH-082309-0038
茨城県,かすみがうら市,御野立所,有形文化財,,市指定,1973-09-01,かすみがうら市上志筑495,,https://www.city.kasumigaura.lg.jp/page/page003295.html,html,2026-07-06T12:59:54Z,JMH-082309-0014
茨城県,かすみがうら市,願成寺跡（堀ノ内館跡),有形文化財,,市指定,1971-08-01,かすみがうら市上志筑52,,https://www.city.kasumigaura.lg.jp/page/page003296.html,html,2026-07-06T12:59:54Z,JMH-082309-0011
茨城県,かすみがうら市,石造五輪塔（上志筑),有形文化財,考古資料,市指定,1973-09-01,かすみがうら市上志筑135,,https://www.city.kasumigaura.lg.jp/page/page003346.html,html,2026-07-06T12:59:54Z,JMH-082309-0017
茨城県,かすみがうら市,木造聖観音菩薩立像,記念物(史跡・名勝・天然記念物),天然記念物,市指定,2003-04-23,かすみがうら市下志筑675,,https://www.city.kasumigaura.lg.jp/page/page003297.html,html,2026-07-06T12:59:54Z,JMH-082309-0035
茨城県,かすみがうら市,木造阿弥陀如来坐像,記念物(史跡・名勝・天然記念物),天然記念物,市指定,2003-04-23,かすみがうら市下志筑675,,https://www.city.kasumigaura.lg.jp/page/page003298.html,html,2026-07-06T12:59:54Z,JMH-082309-0036
茨城県,かすみがうら市,狐塚古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,1973-09-01,かすみがうら市下志筑1543,,https://www.city.kasumigaura.lg.jp/page/page003299.html,html,2026-07-06T12:59:54Z,JMH-082309-0016
茨城県,かすみがうら市,大塚古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,1971-08-01,かすみがうら市下志筑1534,,https://www.city.kasumigaura.lg.jp/page/page003300.html,html,2026-07-06T12:59:54Z,JMH-082309-0005
茨城県,かすみがうら市,中根長者の屋敷跡,記念物(史跡・名勝・天然記念物),史跡,市指定,1973-09-01,かすみがうら市下土田1443,,https://www.city.kasumigaura.lg.jp/page/page003301.html,html,2026-07-06T12:59:54Z,JMH-082309-0012
茨城県,かすみがうら市,不動明王像,有形文化財,彫刻,市指定,1971-08-01,かすみがうら市下土田885-1,,https://www.city.kasumigaura.lg.jp/page/page003302.html,html,2026-07-06T12:59:54Z,JMH-082309-0001
茨城県,かすみがうら市,椿堂遺跡,記念物(史跡・名勝・天然記念物),史跡,市指定,1973-09-01,かすみがうら市上土田1029,,https://www.city.kasumigaura.lg.jp/page/page003303.html,html,2026-07-06T12:59:54Z,JMH-082309-0015
茨城県,かすみがうら市,板碑,有形文化財,考古資料,市指定,1979-06-01,かすみがうら市上佐谷719,,https://www.city.kasumigaura.lg.jp/page/page003304.html,html,2026-07-06T12:59:54Z,JMH-082309-0028
茨城県,かすみがうら市,関戸瓦窯跡,有形文化財,考古資料,市指定,1973-09-01,かすみがうら市上佐谷1529,,https://www.city.kasumigaura.lg.jp/page/page003305.html,html,2026-07-06T12:59:54Z,JMH-082309-0020
茨城県,かすみがうら市,雨乞い幕,有形文化財,工芸品,市指定,2008-10-01,かすみがうら市上佐谷,,https://www.city.kasumigaura.lg.jp/page/page003306.html,html,2026-07-06T12:59:54Z,JMH-082309-0039
茨城県,かすみがうら市,雪入十五社神社祭礼幕,有形文化財,建造物,市指定,2009-12-01,かすみがうら市雪入,,https://www.city.kasumigaura.lg.jp/page/page003307.html,html,2026-07-06T12:59:54Z,JMH-082309-0040
茨城県,かすみがうら市,雪入の郷倉,記念物(史跡・名勝・天然記念物),史跡,市指定,1971-08-01,かすみがうら市雪入297,,https://www.city.kasumigaura.lg.jp/page/page003308.html,html,2026-07-06T12:59:54Z,JMH-082309-0010
茨城県,かすみがうら市,助六の首塚,有形文化財,,市指定,1973-09-01,かすみがうら市下佐谷777-1,,https://www.city.kasumigaura.lg.jp/page/page003309.html,html,2026-07-06T12:59:54Z,JMH-082309-0013
茨城県,かすみがうら市,石造五輪塔（中佐谷）,有形文化財,考古資料,市指定,1973-09-01,かすみがうら市中佐谷853-3,,https://www.city.kasumigaura.lg.jp/page/page003310.html,html,2026-07-06T12:59:54Z,JMH-082309-0018
茨城県,かすみがうら市,笠松城跡,記念物(史跡・名勝・天然記念物),史跡,市指定,1971-08-01,かすみがうら市中佐谷468ほか,,https://www.city.kasumigaura.lg.jp/page/page003311.html,html,2026-07-06T12:59:54Z,JMH-082309-0008
茨城県,かすみがうら市,西田古墳群,記念物(史跡・名勝・天然記念物),史跡,市指定,1973-09-01,かすみがうら市上稲吉1137-2ほか,,https://www.city.kasumigaura.lg.jp/page/page003312.html,html,2026-07-06T12:59:54Z,JMH-082309-0019
茨城県,かすみがうら市,木造不動明王立像,記念物(史跡・名勝・天然記念物),天然記念物,市指定,2003-04-23,かすみがうら市上稲吉72,,https://www.city.kasumigaura.lg.jp/page/page003313.html,html,2026-07-06T12:59:54Z,JMH-082309-0034
茨城県,かすみがうら市,坂本家住宅（稲吉宿本陣）,有形文化財,建造物,市指定,1971-08-01,かすみがうら市下稲吉1401,,https://www.city.kasumigaura.lg.jp/page/page003314.html,html,2026-07-06T12:59:54Z,JMH-082309-0004
茨城県,かすみがうら市,風返大日山古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,1974-03-22,かすみがうら市宍倉1022,,https://www.city.kasumigaura.lg.jp/page/page003315.html,html,2026-07-06T12:59:54Z,JMH-082309-0023
茨城県,かすみがうら市,風返浅間山古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,1974-03-22,かすみがうら市宍倉995,,https://www.city.kasumigaura.lg.jp/page/page003316.html,html,2026-07-06T12:59:54Z,JMH-082309-0024
茨城県,かすみがうら市,宍倉城本丸跡,記念物(史跡・名勝・天然記念物),史跡,市指定,1974-03-22,かすみがうら市宍倉449-1ほか,,https://www.city.kasumigaura.lg.jp/page/page003318.html,html,2026-07-06T12:59:54Z,JMH-082309-0022
茨城県,かすみがうら市,成井ばやし,民俗文化財,無形民俗文化財,市指定,1988-08-24,かすみがうら市西成井76-1,,https://www.city.kasumigaura.lg.jp/page/page003319.html,html,2026-07-06T12:59:54Z,JMH-082309-0030
茨城県,かすみがうら市,厨子,有形文化財,工芸品,市指定,1975-09-27,かすみがうら市宍倉223,,https://www.city.kasumigaura.lg.jp/page/page003320.html,html,2026-07-06T12:59:54Z,JMH-082309-0025
茨城県,かすみがうら市,木造千手観音菩薩坐像,記念物(史跡・名勝・天然記念物),天然記念物,市指定,2004-03-25,かすみがうら市安食972,,https://www.city.kasumigaura.lg.jp/page/page003321.html,html,2026-07-06T12:59:54Z,JMH-082309-0037
茨城県,かすみがうら市,柏崎素鵞神社絵馬,有形文化財,建造物,市指定,1978-06-20,かすみがうら市柏崎1587-16,,https://www.city.kasumigaura.lg.jp/page/page003323.html,html,2026-07-06T12:59:54Z,JMH-082309-0026
茨城県,かすみがうら市,ナギ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1981-03-20,かすみがうら市田伏2247,,https://www.city.kasumigaura.lg.jp/page/page003324.html,html,2026-07-06T12:59:54Z,JMH-082309-0029
茨城県,かすみがうら市,田伏鹿島神社算額,有形文化財,建造物,市指定,1978-06-20,かすみがうら市田伏1613,,https://www.city.kasumigaura.lg.jp/page/page003326.html,html,2026-07-06T12:59:54Z,JMH-082309-0027
茨城県,かすみがうら市,旧福田家住宅,有形文化財,建造物,市指定,1993-12-15,かすみがうら市坂890 民家園,,https://www.city.kasumigaura.lg.jp/page/page003327.html,html,2026-07-06T12:59:54Z,JMH-082309-0032
茨城県,かすみがうら市,旧福田家板倉,有形文化財,,市指定,1993-12-15,かすみがうら市坂890 民家園,,https://www.city.kasumigaura.lg.jp/page/page003328.html,html,2026-07-06T12:59:54Z,JMH-082309-0033
茨城県,かすみがうら市,坂稲荷山古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,1974-03-22,かすみがうら市坂4016,,https://www.city.kasumigaura.lg.jp/page/page003329.html,html,2026-07-06T12:59:54Z,JMH-082309-0021
茨城県,かすみがうら市,折越十日塚古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003330.html,html,2026-07-06T12:59:54Z,JMH-082309-0043
茨城県,かすみがうら市,銅造千手観音菩薩立像,有形文化財,彫刻,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003332.html,html,2026-07-06T12:59:54Z,JMH-082309-0052
茨城県,かすみがうら市,木造地蔵菩薩立像,記念物(史跡・名勝・天然記念物),天然記念物,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003347.html,html,2026-07-06T12:59:54Z,JMH-082309-0045
茨城県,かすみがうら市,牛渡牛塚古墳,記念物(史跡・名勝・天然記念物),史跡,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003348.html,html,2026-07-06T12:59:54Z,JMH-082309-0047
茨城県,かすみがうら市,戸崎城本丸跡,記念物(史跡・名勝・天然記念物),史跡,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003333.html,html,2026-07-06T12:59:54Z,JMH-082309-0042
茨城県,かすみがうら市,藤切り祇園祭,民俗文化財,無形民俗文化財,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003335.html,html,2026-07-06T12:59:54Z,JMH-082309-0050
茨城県,かすみがうら市,銅造菩薩立像,有形文化財,彫刻,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003336.html,html,2026-07-06T12:59:54Z,JMH-082309-0053
茨城県,かすみがうら市,貞照の刀,有形文化財,工芸品,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003337.html,html,2026-07-06T12:59:54Z,JMH-082309-0051
茨城県,かすみがうら市,本堂家の采配,有形文化財,建造物,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003338.html,html,2026-07-06T12:59:54Z,JMH-082309-0046
茨城県,かすみがうら市,銅造薬師如来懸仏,有形文化財,彫刻,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003339.html,html,2026-07-06T12:59:54Z,JMH-082309-0054
茨城県,かすみがうら市,銅造阿弥陀如来懸仏,有形文化財,彫刻,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003360.html,html,2026-07-06T12:59:54Z,JMH-082309-0055
茨城県,かすみがうら市,絹本著色釈迦十六善神図,有形文化財,絵画,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003340.html,html,2026-07-06T12:59:54Z,JMH-082309-0048
茨城県,かすみがうら市,木造十一面観音菩薩立像,記念物(史跡・名勝・天然記念物),天然記念物,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003341.html,html,2026-07-06T12:59:54Z,JMH-082309-0044
茨城県,かすみがうら市,帆引き網漁法の漁具,民俗文化財,無形民俗文化財,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003343.html,html,2026-07-06T12:59:54Z,JMH-082309-0041
茨城県,かすみがうら市,鰐口,有形文化財,工芸品,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003344.html,html,2026-07-06T12:59:54Z,JMH-082309-0056
茨城県,かすみがうら市,薬師如来坐像,有形文化財,彫刻,市指定,,,,https://www.city.kasumigaura.lg.jp/page/page003345.html,html,2026-07-06T12:59:54Z,JMH-082309-0049
茨城県,ひたちなか市,正徳寺の門（しょうとくじのもん）,有形文化財,建造物,市指定,1982-10-18,ひたちなか市館山9002,員数: 1棟,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0029
茨城県,ひたちなか市,山上門（さんじょうもん）,有形文化財,建造物,市指定,1992-06-25,ひたちなか市栄町1-10 （あづまが丘公園）,員数: 1棟,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0035
茨城県,ひたちなか市,木琴と扁額（もっきんとへんがく）,有形文化財,工芸品,市指定,1971-12-21,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 3点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0011
茨城県,ひたちなか市,懸仏（かけぼとけ）,有形文化財,工芸品,市指定,1973-05-02,ひたちなか市平磯町,員数: 1点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0013
茨城県,ひたちなか市,湫尾神社蔵神鏡（ぬまおじんじゃぞうしんきょう）,有形文化財,工芸品,市指定,1993-02-16,ひたちなか市武田,員数: 1点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0037
茨城県,ひたちなか市,和太鼓（わだいこ）,有形文化財,工芸品,市指定,2000-02-10,ひたちなか市釈迦町,員数: 1張,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0042
茨城県,ひたちなか市,鉾の宮古墳群第2号墳出土埴輪一括（ほこのみやこふんぐんだい2ごうふんしゅつどはにわいっかつ）,有形文化財,考古資料,市指定,1980-06-16,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 5体,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0020
茨城県,ひたちなか市,虎塚古墳出土品一括（とらつかこふんしゅつどひんいっかつ）,有形文化財,考古資料,市指定,1980-06-16,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 54点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0019
茨城県,ひたちなか市,長岡遺跡出土弥生式土器（ながおかいせきしゅつどやよいしきどき）,有形文化財,考古資料,市指定,1982-06-15,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 5点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0027
茨城県,ひたちなか市,馬渡埴輪製作遺跡出土埴輪（まわたりはにわせいさくいせきしゅつどはにわ）,有形文化財,考古資料,市指定,1982-06-15,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 3点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0028
茨城県,ひたちなか市,三反田蜆塚貝塚出土土偶（みたんだしいづかかいづかしゅつどどぐう）,有形文化財,考古資料,市指定,1990-01-31,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 2点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0034
茨城県,ひたちなか市,大沼経塚群出土経筒（おおぬまきょうづかぐんしゅつどきょうつつ）,有形文化財,考古資料,市指定,1993-02-16,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 1点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0036
茨城県,ひたちなか市,磯崎東古墳群出土遺物（いそざきひがしこふんぐんしゅつどいぶつ）,有形文化財,考古資料,市指定,2001-09-06,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 18点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0043
茨城県,ひたちなか市,三反田蜆塚貝塚土坑出土土偶（みたんだしいづかかいづかどこうしゅつどどぐう）,有形文化財,考古資料,市指定,2008-03-11,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 2点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0046
茨城県,ひたちなか市,那珂湊反射炉飛田家資料（なかみなとはんしゃろとびたけしりょう）,有形文化財,歴史資料,市指定,2003-10-15,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 30点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0045
茨城県,ひたちなか市,常陸湊村町内別明細絵図（ひたちみなとむらちょうないべつめいさいえず）,有形文化財,歴史資料,市指定,2003-10-15,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 1点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0044
茨城県,ひたちなか市,平磯の杖術（ひらいそのじょうじゅつ）,有形文化財,無形文化財（芸能）,市指定,1971-09-21,ひたちなか市平磯遠原町31‐2,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0006
茨城県,ひたちなか市,手づくり張り子の達麿と虎・兎（てづくりはりこのだるまととら・うさぎ）,有形文化財,無形文化財 （工芸技術）,市指定,1984-02-08,ひたちなか市十三奉行1975,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0030
茨城県,ひたちなか市,車長持（くるまながもち）,民俗文化財,有形民俗文化財,市指定,1982-06-15,ひたちなか市中根3499（埋蔵文化財調査センター）,員数: 1点,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0026
茨城県,ひたちなか市,ヤンサマチ使用馬具（やんさまちしようばぐ）,民俗文化財,有形民俗文化財,市指定,1985-01-19,ひたちなか市中根3499（埋蔵文化財調査センター）,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0032
茨城県,ひたちなか市,船甚句（ふなじんく）,民俗文化財,無形民俗文化財,市指定,1973-11-20,ひたちなか市釈迦町,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0015
茨城県,ひたちなか市,天満宮の祭礼（てんまんぐうのさいれい）,民俗文化財,無形民俗文化財,市指定,1980-11-26,ひたちなか市湊中央1-2-1,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0023
茨城県,ひたちなか市,六町目獅子（ろくちょうめしし）,民俗文化財,無形民俗文化財,市指定,1980-11-26,ひたちなか市東本町,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0022
茨城県,ひたちなか市,元町みろく（もとまちみろく）,民俗文化財,無形民俗文化財,市指定,1980-11-26,ひたちなか市湊中央1丁目,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0021
茨城県,ひたちなか市,オシンメサマ,民俗文化財,無形民俗文化財,市指定,1985-01-19,ひたちなか市馬渡字中宿,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0031
茨城県,ひたちなか市,天満宮祭礼屋台囃子（てんまんぐうさいれいやたいばやし）,民俗文化財,無形民俗文化財,市指定,1994-10-20,ひたちなか市湊本町ほか,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0038
茨城県,ひたちなか市,佐和秋葉神社の火祭り（さわあきばじんじゃのひまつり）,民俗文化財,無形民俗文化財,市指定,2009-03-06,ひたちなか市佐和1,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0047
茨城県,ひたちなか市,平磯三社祭（ひらいそさんじゃまつり）,民俗文化財,無形民俗文化財,市指定,2017-10-16,平磯町内,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0048
茨城県,ひたちなか市,い賓閣跡（いひんかくあと）,記念物(史跡・名勝・天然記念物),史跡,市指定,1968-01-16,ひたちなか市湊中央1-1（湊公園）,"員数: 28,992平方メートル",https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0001
茨城県,ひたちなか市,比観亭跡（ひかんていあと）,記念物(史跡・名勝・天然記念物),史跡,市指定,1968-01-16,ひたちなか市磯崎町東の四4609,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0003
茨城県,ひたちなか市,水車場跡（すいしゃばあと）,記念物(史跡・名勝・天然記念物),史跡,市指定,1968-01-16,ひたちなか市柳沢字下瀬1366‐1,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0004
茨城県,ひたちなか市,首塚（忠勇戦死之墓）（くびづか（ちゅうゆうせんしのはか））,記念物(史跡・名勝・天然記念物),史跡,市指定,1971-12-21,ひたちなか市鶴代2341‐1,員数: 334平方メートル,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0012
茨城県,ひたちなか市,文武館跡（ぶんぶかんあと）,記念物(史跡・名勝・天然記念物),史跡,市指定,1971-12-21,ひたちなか市山ノ上町6535（那珂湊第一小学校）,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0010
茨城県,ひたちなか市,寺前古墳（てらまえこふん）,記念物(史跡・名勝・天然記念物),史跡,市指定,1973-11-20,ひたちなか市柳が丘12‐1,"員数: 2,695平方メートル",https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0014
茨城県,ひたちなか市,多良崎城跡（たらさきじょうあと）,記念物(史跡・名勝・天然記念物),史跡,市指定,1975-06-23,ひたちなか市足崎字館990,員数: 12.6ヘクタール,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0016
茨城県,ひたちなか市,飯塚前古墳（いいづかまえこふん）,記念物(史跡・名勝・天然記念物),史跡,市指定,1979-04-17,ひたちなか市三反田字飯塚前3268,員数: 501平方メートル,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0017
茨城県,ひたちなか市,川子塚古墳（かごづかこふん）,記念物(史跡・名勝・天然記念物),史跡,市指定,1979-09-27,ひたちなか市磯崎町字川子塚4618‐10,"員数: 7,817平方メートル",https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0018
茨城県,ひたちなか市,福島藩士の墓（ふくしまはんしのはか）,記念物(史跡・名勝・天然記念物),史跡,市指定,1981-04-01,ひたちなか市中根字堂山1439,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0024
茨城県,ひたちなか市,宇都宮藩士の墓（うつのみやはんしのはか）,記念物(史跡・名勝・天然記念物),史跡,市指定,1989-09-18,ひたちなか市田彦字林山,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0033
茨城県,ひたちなか市,観濤所（かんとうじょ）,記念物(史跡・名勝・天然記念物),名勝,市指定,1971-09-21,ひたちなか市磯崎町字入道3602,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0009
茨城県,ひたちなか市,姥のふところ（うばのふところ）,記念物(史跡・名勝・天然記念物),名勝,市指定,1971-09-21,ひたちなか市殿山町1丁目地先海岸,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0005
茨城県,ひたちなか市,水門帰帆（みなとのきはん）,記念物(史跡・名勝・天然記念物),名勝,市指定,1971-09-21,ひたちなか市和田町2丁目,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0007
茨城県,ひたちなか市,イワレンゲ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1968-01-16,ひたちなか市湊中央,,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0002
茨城県,ひたちなか市,湊御殿の松（みなとごてんのまつ）,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1971-09-21,ひたちなか市湊中央1-1（湊公園）,員数: 12株,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0008
茨城県,ひたちなか市,素鵞神社の大ケヤキ（そがじんじゃのおおけやき）,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1981-04-01,ひたちなか市足崎,員数: 1株,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0025
茨城県,ひたちなか市,足崎のイチョウ,記念物(史跡・名勝・天然記念物),天然記念物,市指定,1997-03-18,ひたちなか市足崎,員数: 1株,https://www.city.hitachinaka.lg.jp/shiminkatsudo/bunka/1002389/1008219/1002444.html,html,2026-07-06T12:59:39Z,JMH-082210-0041
