全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
041009,000000000001,,大崎八幡宮,オオサキハチマングウ,,Osaki Hachimangu Shrine,国宝,建造物,,041017,,宮城県仙台市青葉区八幡4丁目6-1,宮城県,仙台市,青葉区八幡4丁目,6-1,,,,,,,,,,,,,,,大崎八幡宮,1903-04-15,,,,,,,,,,,,
041009,000000000002,,大崎八幡宮長床,オオサキハチマングウナガトコ,,Nagatoko style gate building of Osaki hachimangu shrine,重要文化財,建造物,,041017,,宮城県仙台市青葉区八幡4丁目6-1,宮城県,仙台市,青葉区八幡4丁目,6-1,,,,,,,,,,,,,,,大崎八幡宮,1966-06-11,,,,,,,,,,,,
041009,000000000003,,陸奥国分寺薬師堂,ムツコクブンジヤクシドウ,,Yakushido hall in Mutsu Kokubunji temple,重要文化財,建造物,,041033,,宮城県仙台市若林区木ノ下3丁目8-1,宮城県,仙台市,若林区木ノ下3丁目,8-1,,,,,,,,,,,,,,,陸奥国分寺,1903-04-15,,,,,,,,,,,,
041009,000000000004,,東照宮,トウショウグウ,,Toshogu shrine,重要文化財,建造物,,041017,,宮城県仙台市青葉区東照宮1丁目6-1,宮城県,仙台市,青葉区東照宮1丁目,6-1,,,,,,,,,,,,,,,東照宮,1953-03-31,,,,,,,,,,,,
041009,000000000009,,木造釈迦如来立像,モクゾウシャカニョライリュウゾウ,,Wooden standing Shakanyorai,重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区八幡4丁目8-32,宮城県,仙台市,青葉区八幡4丁目,8-32,,,,,,,,,,,,,,,龍宝寺,1903-04-15,,,,,,,,,,,,
041009,000000000010,,太刀,タチ,,Sword,重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内亀岡町62,宮城県,仙台市,青葉区川内亀岡町,62,,,,,,,,,,,,,,,亀岡八幡宮,1914-04-17,,,,,,,,,,,,
041009,000000000011,,小紋染胴服,コモンゾメドウフク,,Komonzome fine dyed pattern Dofuku coat,重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1978-06-15,,,,,,,,,,,,
041009,000000000012,,黒漆五枚胴具足  兜・小具足付(伊達政宗所用),クロウルシゴマイドウグソク　カブト・コグソクツキ(ダテマサムネショヨウ),,Black laquer Gusoku armor gomai-do gusoku type with Helmet and Kogusoku (accessaries),重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1979-06-06,,,,,,,,,,,,
041009,000000000013,,銀伊予札白糸威胴丸具足  兜・小具足付,ギンイヨザネシロイトオドシドウマルグソク　カブト・コグソクツキ,,Gusoku armor of domaru-gusoku type with helmet and Kogusoku (accessaries)  made with sane silver foil embossed material sewn with white cord,重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1979-06-06,,,,,,,,,,,,
041009,000000000014,,帯(三沢初子所用),オビ(ミサワハツコショヨウ),,Sashes worn by Misawa Hatsuko,重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区川内26,宮城県,仙台市,青葉区川内,26,,,,,,,,,,,,,,,仙台市（博物館）,1991-06-21,,,,,,,,,,,,
041009,000000000026,,類聚国史巻第廿五,ルイジュコクシマキダイニジュウゴ,,"Japanese History,Ruijukokushi vol.25",国宝,美術工芸品,,041017,,宮城県仙台市青葉区片平2丁目1-1,宮城県,仙台市,青葉区片平2丁目,1-1,,,,,,,,,,,,,,,東北大学,1952-11-22,,,,,,,,,,,,
041009,000000000027,,史記(孝文本紀第十),シキ　(コウブンホンギ　ダイジュウ),,Shiki manuscript Vol. 10,国宝,美術工芸品,,041017,,宮城県仙台市青葉区片平2丁目1-1,宮城県,仙台市,青葉区片平2丁目,1-1,,,,,,,,,,,,,,,東北大学,1952-11-22,,,,,,,,,,,,
041009,000000000028,,埴輪甲，埴輪家残闕，埴輪円筒,ハニワヨロイ，ハニワイエザンケツ，ハニワエントウ,,"Armer-shaped Haniwas,incomplete house-shaped Haniwa and cylindrical Haniwa",重要文化財,美術工芸品,,041017,,宮城県仙台市青葉区片平2丁目1-1,宮城県,仙台市,青葉区片平2丁目,1-1,,,,,,,,,,,,,,,東北大学,1959-06-27,,,,,,,,,,,,
